Datetime,DOM_MW
2017-10-13 01:00:00,8261.0
2017-10-13 02:00:00,8475.0
2017-10-13 03:00:00,8588.0
2017-10-13 04:00:00,8497.0
2017-10-13 05:00:00,8550.0
2017-10-13 06:00:00,8239.0
2017-10-13 07:00:00,9229.0
2017-10-13 08:00:00,9873.0
2017-10-13 09:00:00,9963.0
2017-10-13 10:00:00,10086.0
2017-10-13 11:00:00,10170.0
2017-10-13 12:00:00,10209.0
2017-10-13 13:00:00,10232.0
2017-10-13 14:00:00,10270.0
2017-10-13 15:00:00,10210.0
2017-10-13 16:00:00,10237.0
2017-10-13 17:00:00,10217.0
2017-10-13 18:00:00,10271.0
2017-10-13 19:00:00,10445.0
2017-10-13 20:00:00,10547.0
2017-10-13 21:00:00,10279.0
2017-10-13 22:00:00,9839.0
2017-10-13 23:00:00,9301.0
2017-10-13 00:00:00,8772.0
